Barcode,Shift,Updated At,Overall Result,OP100 - DEBURRING,Machine Result
"26040103180101RL","C","2026-04-13T03:23:54.527Z","IN PROGRESS","-","IN PROGRESS"
"26040103190101RL","C","2026-04-13T03:06:12.380Z","IN PROGRESS","-","IN PROGRESS"
"26040103100101RL","C","2026-04-13T02:55:24.307Z","IN PROGRESS","-","IN PROGRESS"
"26040103240101RL","C","2026-04-13T01:28:42.983Z","IN PROGRESS","-","IN PROGRESS"
"26040103160101RL","C","2026-04-13T01:14:32.103Z","IN PROGRESS","-","IN PROGRESS"
"26040103230101RL","C","2026-04-13T00:57:40.430Z","IN PROGRESS","-","IN PROGRESS"
"26040103220101RL","C","2026-04-13T00:45:18.680Z","IN PROGRESS","-","IN PROGRESS"
"26040103210101RL","C","2026-04-13T00:34:43.653Z","IN PROGRESS","-","IN PROGRESS"
"26040103270101RL","C","2026-04-13T00:02:48.230Z","IN PROGRESS","-","IN PROGRESS"
"26040103260101RL","C","2026-04-12T23:46:12.003Z","IN PROGRESS","-","IN PROGRESS"
"26040103280101RL","C","2026-04-12T23:36:58.207Z","IN PROGRESS","-","IN PROGRESS"
"26040103290101RL","C","2026-04-12T23:27:32.477Z","IN PROGRESS","-","IN PROGRESS"
"26040103200101RL","C","2026-04-12T23:11:10.577Z","IN PROGRESS","-","IN PROGRESS"
"26040103250101RL","C","2026-04-12T22:59:54.983Z","IN PROGRESS","-","IN PROGRESS"
"26040103300101RL","C","2026-04-12T22:52:07.353Z","IN PROGRESS","-","IN PROGRESS"
"26040103310101RL","C","2026-04-12T22:38:36.903Z","IN PROGRESS","-","IN PROGRESS"
"26040103320101RL","C","2026-04-12T22:23:00.450Z","IN PROGRESS","-","IN PROGRESS"
"26040103340101RL","C","2026-04-12T22:04:43.880Z","IN PROGRESS","-","IN PROGRESS"
"26040103730101RL","B","2026-04-12T21:55:40.730Z","IN PROGRESS","-","IN PROGRESS"
"26040302490101RL","B","2026-04-12T18:52:00.227Z","IN PROGRESS","-","IN PROGRESS"
"26040502750101RL","B","2026-04-12T18:36:43.807Z","IN PROGRESS","-","IN PROGRESS"
