Barcode,Shift,Updated At,Overall Result,OP100 - DEBURRING,Machine Result
"26040602450101RL","A","2026-04-09T06:34:35.497Z","IN PROGRESS","-","IN PROGRESS"
"26040602470101RL","B","2026-04-08T17:36:53.120Z","IN PROGRESS","-","IN PROGRESS"
"26040603260101RL","B","2026-04-08T17:23:19.147Z","IN PROGRESS","-","IN PROGRESS"
"12454223455443RL","B","2026-04-08T16:25:43.380Z","NG","-","IN PROGRESS"
"26040502780101RL","A","2026-04-08T12:45:00.027Z","IN PROGRESS","-","IN PROGRESS"
"26040600140101RL","A","2026-04-08T12:43:49.457Z","IN PROGRESS","-","IN PROGRESS"
"26040602680101RL","A","2026-04-08T12:42:31.380Z","IN PROGRESS","-","IN PROGRESS"
"26040602620101RL","A","2026-04-08T12:41:25.833Z","IN PROGRESS","-","IN PROGRESS"
"26040600230101RL","A","2026-04-08T12:39:50.727Z","IN PROGRESS","-","IN PROGRESS"
"26040602460101RL","A","2026-04-08T12:38:28.603Z","IN PROGRESS","-","IN PROGRESS"
"26040302740101RL","A","2026-04-08T12:37:56.203Z","IN PROGRESS","-","IN PROGRESS"
"26040502760101RL","A","2026-04-08T12:28:28.003Z","NG","-","IN PROGRESS"
"36040603240101RL","A","2026-04-08T11:44:51.853Z","NG","-","IN PROGRESS"
"26040603250101RL","A","2026-04-08T11:33:27.630Z","IN PROGRESS","-","IN PROGRESS"
"26040600520101RL","A","2026-04-08T11:23:54.027Z","IN PROGRESS","-","IN PROGRESS"
"26040300390101RL","A","2026-04-08T10:51:31.903Z","NG","-","IN PROGRESS"
"26040601410101RL","B","2026-04-06T16:25:30.820Z","IN PROGRESS","-","IN PROGRESS"
"26040601370101RL","B","2026-04-06T16:25:05.390Z","NG","OK","OK"
"26040601400101RL","B","2026-04-06T16:24:36.143Z","IN PROGRESS","-","IN PROGRESS"
"26040400140101RL","B","2026-04-05T14:31:15.067Z","IN PROGRESS","-","IN PROGRESS"
"26040400130101RL","B","2026-04-05T14:21:47.390Z","IN PROGRESS","OK","OK"
"26040400110101RL","B","2026-04-05T14:18:53.840Z","IN PROGRESS","-","IN PROGRESS"
"26040400100101RL","B","2026-04-05T14:10:33.140Z","IN PROGRESS","-","IN PROGRESS"
"26040400120101RL","B","2026-04-05T14:02:48.287Z","IN PROGRESS","OK","OK"
"76326744356633RL","B","2026-04-02T16:18:54.270Z","IN PROGRESS","-","IN PROGRESS"
"76326744456633RL","B","2026-04-02T16:18:54.270Z","IN PROGRESS","-","IN PROGRESS"
"76326744656633RL","B","2026-04-02T16:18:54.270Z","IN PROGRESS","-","IN PROGRESS"
"76326744756633RL","B","2026-04-02T16:18:54.270Z","IN PROGRESS","-","IN PROGRESS"
"DUMMY123456RR","A","2026-04-02T16:14:26.990Z","IN PROGRESS","-","IN PROGRESS"
"12345673578644RR","A","2026-04-02T16:11:13.620Z","IN PROGRESS","-","IN PROGRESS"
